id_entreprise,name,sector,city,country,website,email,revenue,enrollment,average,salary,description,message
anssi,ANSSI,"Informatique, Télécommunication, Électronique",Paris,France ,http://ssi.gouv.fr,recrutement@ssi.gouv.fr,,500,,,Agence Nationale de la Sécurité des Systèmes d'Information,
apave,Apave sudeurope,Industrie,Lyon,France,http://www.apave-recrutement.com/,tassin.annonce@apave.com,843 M€,10860,35,30000€ - 35000€,"La mission d’Apave : accompagner les entreprises et les collectivités dans leur volonté de maîtriser les risques techniques, humains et environnementaux. A travers cinq métiers et une offre complète de prestations de services, les équipes Apave contribuent, chaque jour, à améliorer la sécurité des hommes et des biens

Les métiers d'Apave : 
- Inspection 
- Bâtiment  
- Formation  
- Essais et Mesures 
- Conseil ",
arkema,Arkema,"Energie, Environnement, Chimie",Paris,France,http://arkema.com,careers@arkema.com,"7,1 Md€",19000,,39 000€,"Designer de matériaux et de solutions innovantes, Arkema modèle la matière et accélère la performance de ses clients pour créer de nouveaux usages dans l’allègement et le design des matériaux, les produits bio-sourcés, les énergies nouvelles, la gestion de l’eau, les solutions pour l’électronique et la performance et l’isolation de l’habitat.

Acteur majeur de la chimie de spécialités, avec 3 pôles d'activités, Matériaux Haute Performance, Spécialités Industrielles, Coating Solutions, et des marques mondialement reconnues, le Groupe réalise un chiffre d'affaires de 7,7 milliards d'euros. Porté par l'énergie collective de ses 19 000 collaborateurs, Arkema est présent dans près de 50 pays.","Depuis 10 ans, Arkema écrit une histoire industrielle intense, où les hommes et les femmes jouent le rôle principal, chacun dans leur métier. Le Groupe s'appuie partout dans le monde sur des équipes dotées d'un haut niveau de technicité, de professionnalisme et de performance.

Arkema fait le pari de valoriser ses talents, nous avons besoin de vous pour nourrir cette énergie collective. Venez rejoindre une équipe où vous aurez un impact !"
assystem,Assystem,Audit & Conseil,Versailles,France,http://www.assystem.com,,900 M€,12000,,,"Assystem est un groupe international d’Ingénierie et de conseil en innovation.

Au cœur de l’industrie depuis cinquante ans, le groupe accompagne ses clients dans le développement de leurs produits et dans la maîtrise de leurs investissements industriels tout au long du cycle de vie. 

Nous développons et intégrons des technologies pour des produits innovants, des processus de production et des infrastructures de pointe pour accompagner nos partenaires dans le déploiement de leurs projets.",
astek,Astek,"Informatique, Télécommunication, Électronique",,France,http://blog.groupeastek.com,candidature_spontanée@astek.fr,185 M€,2500,,,"Astek est un groupe français indépendant, créé en 1988 par Jean-Luc Bernard, diplômé de l'Ecole Polytechnique. 

Devenu un acteur majeur du service informatique, Astek réunit 2500 collaborateurs et réalise un chiffre d’affaires de 185 M€. 

Les expertises techniques et fonctionnelles du groupe s’articulent autour de trois grands métiers : conseil, systèmes d’information & ingénierie scientifique et technique.
",
atlanticinge,Atlantic ingenierie,"Energie, Environnement, Chimie",Nantes,France,http://www.atlantic-ingenierie.com,,15 M€,180,30,35 000 €,"Créée en 2001, Atlantic Ingénierie est une société en plein développement dans le domaine de l'Ingénierie.
Nos clients sont des acteurs majeurs du monde de l'Energie.
Nous intervenons sur des prestations techniques dans le cadre de nos 3 activités : Projet & Expertise, Réseaux et Industrie (Oil & Gas, Thermique et Nucléaire), en France et à l'International.
",
ausy,Ausy,"Informatique, Édition de logiciels, Services de l'information",Paris,France,http://ausy.fr,drh@ausy.fr,"394,3 M€",4500,,,"AUSY est un groupe international de Conseil et d'Ingénierie en Hautes Technologies dont le business model est fondé sur une forte culture de l'innovation associée à une complémentarité métier entre systèmes d'information et systèmes  industriels complexes. En 2015, AUSY a réalisé un chiffre d'affaires de 394,3M€ et emploie plus de 4 500 collaborateurs sur plus de cinquante sites, en Europe, aux Etats-Unis et en Asie.
Pour plus d'informations : www.ausy.com
","Choisir AUSY, société cotée en Bourse, certifiée ISO 9001, ISO 27001 et CMMI 3, c’est rejoindre une entreprise de plus de 4500 personnes implantée en France et à l'international (Europe, Inde, Etats-Unis).
AUSY s’est imposé auprès d’une clientèle grands comptes dans les secteurs industriels (aéronautique, spatial, défense, télécom, etc) et tertiaires (banques, assurances, retraites, etc).

AUSY a su se démarquer en développant ses activités autour d’une triple spécialisation : les SI, les systèmes industriels complexes et les systèmes pour l’énergie.

Nos clients nous intègrent très en amont sur leurs projets. Pour assurer le service le mieux adapté à leurs besoins, nous développons une offre de services avec une politique forte d’engagement.

Rejoignez-nous!"
beijaflore,Beijaflore,Audit & Conseil,Paris,France,http://www.beijaflore.com/,accueil396@beijaflore.com,75 M€,850,,,"Créé en 2000, Beijaflore est un cabinet de conseil qui compte aujourd’hui près de 850 collaborateurs. Nous sommes présents en France, en Belgique et au Brésil, et de nouvelles ouvertures sont prévues prochainement. Beijaflore conseille les directions métiers et les directions des systèmes d’information des grands comptes dans leurs projets d’évolution.
",
biomerieux,Biomérieux,Industrie,Marcy L'Etoile,France,http://www.biomerieux.com/fr,,"1,965 Md€",10000,,,"Acteur mondial du diagnostic in vitro depuis plus de 50 ans, bioMérieux est présente dans plus de 150 pays au travers de 42 filiales et d’un large réseau de distributeurs.  Nous proposons à nos clients des solutions de diagnostic qui déterminent l’origine d’une maladie ou d’une contamination pour améliorer la santé des patients et assurer la sécurité des consommateurs.
Dans un monde en constante mutation, notre Groupe conserve un modèle familial et indépendant, à l’esprit humaniste.  ",
bobst,Bobst,Industrie,Lyon,France,http://www.bobst.com,Bobst.accueil@bobst.com,,5000,,,"BOBST Lyon est le premier fournisseur mondial d'équipements et de services destinés aux fabricants d'emballages des industries  du carton ondulé.
Avec près d'un siècle d’expérience, c'est une référence internationale en matière de machines de transformation de carton ondulé associant les process d’impression, de découpe, de pliage et de collage. BOBST est considéré comme un partenaire de confiance, tourné vers l'innovation.",
bouygues,Bouygues construction,BTP,Versailles,France,http://carrieres.bouygues-construction.com,,12 Md€,50000,,,"Acteur global de la construction présent dans plus de 80 pays, Bouygues Construction conçoit, réalise et exploite des projets dans les secteurs du bâtiment, des infrastructures et de l’industrie.",
bureaualpes,Bureau alpes controles,BTP,Annecy,France,http://alpes-controles.fr,,30 M€,380,34,30 000€ - 33 000€,"Alpes Contrôles est une ""société d'ingénieurs"" qui a la culture de la compétence, de l'honnêteté et de la qualité des prestations. Son développement relève d'une volonté de structuration, de qualité des prestations, d'accompagnement de ses clients et partenaires.
En nous rejoignant, vous exercerez votre métier dans des conditions de respect de votre travail et d'épanouissement personnel.","« La formation et le tutorat individualisé dont vous bénéficierez vous permettront d’acquérir progressivement autonomie et confiance dans notre métier. Désireux d’apporter une vision différente du monde du travail, nous proposons à nos collaborateurs d’être les acteurs de notre développement.
Par notre politique sociale humaniste et innovante, nous favoriserons également votre épanouissement professionnel et veillerons à vous
proposer une évolution de carrière correspondant à vos aspirations.»
Michel Vignoud, Président"
businessfrance,Business France,Administration,Paris,France,http://civiweb.com,info@civiweb.com,,,,,"Business France est l’agence nationale au service de l’internationalisation de l’économie française. Elle gère et développe le V.I.E (Volontariat International en Entreprise). Le V.I.E est une formule qui offre aux filles et garçons de 18 à 28 ans, la possibilité de vivre une expérience professionnelle à l’étranger tout en renforçant le développement économique, scientifique et culturel de la France. Le V.I.E est une est une excellente formule pour démarrer une carrière à l'international. 

",
capgemini,Capgemini,"Informatique, Édition de logiciels, Services de l'information",Paris,France,http://fr.capgemini.com,recrutement.ts.fr@capgemini.com,"11,9 Md€",180000,37,,"Le web, le digital et « l'expérience client » se sont imposés dans tous les secteurs et sont au cœur des nouvelles stratégies de développement des entreprises. Capgemini, un des leaders mondiaux et numéro 1 en France dans le secteur des services informatiques, de l’infogérance et du conseil, accompagne ses clients dans la grande aventure de la transformation digitale. 
","Rejoindre Capgemini aujourd’hui, c’est intégrer une entreprise dynamique, pour mener des missions innovantes dans un contexte international. C’est aussi la possibilité de mener sa carrière au sein d’un grand groupe dans un esprit entrepreneurial, en bénéficiant d’un parcours de formation adapté et d’un encadrement de proximité ; Capgemini est une entreprise de dimension internationale avec des valeurs fortes et surtout, une entreprise en mutation constante qui se réinvente à tout moment pour aller de l’avant.
Alors n’hésitez plus, venez nous rencontrer et #rejoigneznouschezCapgemini !
"
cgi,CGI,"Informatique, Télécommunication, Électronique",Paris,France ,http://www.cgi-recrute.fr,florence.marsaud@cgi.com,900 M€,10000,,,"Fondée en 1976, Groupe CGI inc. est la 5ème plus importante entreprise indépendante de conseil et services en technologies de l’information au monde. Grâce à ses quelques 65 000 professionnels, CGI offre un portefeuille complet de services, y compris des services-conseils stratégiques en informatique et en management, des services d'intégration de systèmes, de développement et de maintenance d'applications informatiques, de gestion d'infrastructures technologiques ainsi qu'une vaste gamme de solutions exclusives à des milliers de clients à l'échelle mondiale à partir de ses bureaux et centres mondiaux de prestation de services dans les Amériques, en Europe et en Asie-Pacifique.","Vous trouvez au sein de CGI un environnement stimulant avec des opportunités intéressantes et de nombreuses façons d'améliorer vos compétences et d'obtenir une solide expérience.
www.cgi-recrute.fr
"
colas,Colas,BTP,Paris,France,http://www.hubcarrierecolas.fr/,,12 Md€,57000,,,"Un leader mondial des travaux de construction et d’entretien de toutes les infrastructures de transport, d’aménagement urbain ou de loisirs, le groupe Colas se caractérise par la diversité de ses activités.",
cicr,Comité international de la croix rouge,Humanitaire,Genève,Suisse,http://www.icrc.org/jobs,,"1,8 Md€",15000,35,50 000€ - 70 000 €,"Le CICR est une organisation internationale, humanitaire, indépendante et neutre qui s’efforce d’apporter protection et assistance humanitaires aux victimes de conflits armés. Sur la base du mandat conféré par la communauté internationale, le CICR intervient de manière impartiale en faveur des prisonniers, des blessés et des malades, ainsi que des civils touchés. Le CICR est à l’origine du Mouvement international de la Croix-Rouge et du Croissant-Rouge et du droit international humanitaire.",
cosumar,Cosumar,Industrie,Casablanca ,Maroc,http://www.cosumar.co.ma,,"6,9 Mdhs",1550,,,,
danone,Danone,Industrie,Paris,France,http://DANONE.COM,,"20,9 Md€",102401,,,,
dcns,Dcns,Industrie,Paris,France,http://fr.dcnsgroup.com/talents/,jparfait.exterieur@dcnsgroup.com,3 Md€,13000,,,"DCNS est le leader européen du naval de défense et un acteur majeur dans les énergies marines renouvelables.  Le Groupe conçoit, réalise et maintient en service des sous-marins et des navires de surface. Il fournit également des services pour les chantiers et bases navals. Enfin, le Groupe propose un large panel de solutions dans les énergies marines renouvelables. ",
decathlon,Decathlon,Agro-Alimentaire Grande Distribution,Lille,France,http://corporate.decathlon.com/,http://recrutement.decathlon.fr/,"8,8 Md€",70000,32,35 000€ - 45 000€,DECATHLON a été créé en 1976 à partir d’une idée originale: répondre aux besoins des sportifs passionnés en leur proposant dans un même lieu une multitude d’articles de sports. Notre promesse: «Rendre le sport accessible au plus grand nombre ». DECATHLON rassemble deux activités: la création de produits sportifs ainsi que la vente locale et en ligne.,
devoteam,Devoteam,Audit & Conseil,Paris,France,http://www.devoteam.fr/,recruitmeifyoucan@devoteam.com,485 Md€,4100,34,,"Nous sommes un acteur majeur du conseil en technologies innovantes et management pour les entreprises. Nos 4 100 professionnels sont engagés à faire gagner la bataille du digital à nos clients. 
Présent dans 15 pays et fort de 20 ans d’expérience, nous améliorons les performances des entreprises en accompagnant l’adoption des usages digitaux et en construisant des infrastructures à la pointe de la technologie.
Chez Devoteam, nous sommes  “Digital Transformakers”.",
dimosoft,Dimo software,"Informatique, Édition de logiciels, Services de l'information",Lyon,France,http://www.dimosoftware.com,,35 M€,370,35,,"DIMO Software est éditeur et intégrateur de solutions logicielles. Basé à Lyon, Paris, Nantes, Biarritz Madrid, Toronto et Montréal, la société connaît une croissance régulière depuis 1995. Elle compte 353 collaborateurs, 6000 clients dans 90 pays et a un CA de 34,6 M€ avec une croissance de 14,8%.

DIMO Software est une entreprise Handi’accueillante.
",
econocom,Econocom,"Informatique, Édition de logiciels, Services de l'information",Lyon,France,http://carrieres.econocom.com/nos-offres,accueil.econocom.villeurbanne@econocom.com,"2,3 Md€",9500,41,30 000 € - 35 000 €,"Econocom est un acteur majeur des services qui accompagne la transformation digitale des entreprises en Europe. Nos 9 500 collaborateurs présents dans 20 pays apportent leur expertise autour des infrastructures (gouvernance et sécurité du SI, conseil et intégration, transformation vers le cloud, infogérance, maintenance critique) et des applications (digitalisation, nouveaux usages, collaboration, nomadisme, Big Data...).

",
edf,EDF,"Energie, Environnement, Chimie",Paris,France,http://www.edf.fr,,75 M€,160000,,,"EDF, électricien performant et responsable, champion de la croissance bas carbone est un des leaders sur le marché de l’énergie en Europe. Le Groupe est présent sur l’ensemble des métiers : la production, le transport, la distribution, le commerce. ",
egis,Egis,Transport,Versailles,France,http://www.egis.fr,,937 M€,13000,40,,"Egis, concepteur du long terme, est spécialisé en ingénierie, montage de projets et exploitation.  Notre Groupe (13000 collaborateurs présents dans plus de 100 pays, filiale du Groupe Caisse des Dépôts) accompagne ses clients dans les secteurs des transports, de la ville, du bâtiment, de l'industrie, de l'eau, de l'environnement et de l'énergie. Nous contribuons par la qualité de nos réalisations et notre esprit d’innovation à l’amélioration du cadre de vie. ",
eiffage,Eiffage,BTP,Versailles,France,http://www.eiffage.com,,14 Md€,70000,,35 000€ - 40 000€,"Eiffage se distingue en France et dans le monde par l’exceptionnelle diversité de ses compétences et de ses savoir-faire techniques. Le Groupe exerce ses activités à travers les métiers de la construction et de l’immobilier, du génie civil, du métal et de la route, de l’énergie et des concessions.",
ekium,Ekium,Industrie,Lyon,France,http://www.ekium.eu,pierre.colombel@ekium.eu,70 M€,750,35,,Ingénierie Industrielle et Tertiaire tous corps d'état + Activité Automation. ,
elca,Elca informatique SA,"Informatique, Édition de logiciels, Services de l'information",Lausanne,Suisse,http://www.elca.ch/,,107 MCHF,750,,,"Avec plus de 700 collaborateurs, ELCA est le plus grand prestataire indépendant de services informatiques en Suisse dans les domaines de l’IT, Business Consulting, du développement, de la maintenance logicielle et de l’intégration de systèmes. La sociéte est particulièrement active dans les domaines des architectures logicielles, des systèmes distribués, des portails, de la GED, du content management, de la sécurité, du CRM,  des  développements  mobiles  et  de la BI /data warehousing. 
",
elcia,Elcia,"Informatique, Édition de logiciels, Services de l'information",Lyon,France,http://elcia.com/join-us/,emploi@elcia.com,10 M€,110,30,30 000€ - 50 000€,"ELCIA, édite, commercialise et intègre un configurateur de vente et un logiciel de gestion commerciale pour les professionnels de la menuiserie (portes et fenêtres). Nos 4700 clients sont des installateurs, des négoces et des grands comptes industriels. Avec sa filiale ISIA, ELCIA compte désormais 110 salariés pour un chiffre d’affaires de 10M€. 

","Curieux(se), passionné(e) par les nouvelles technologies, ambitieux(se) et fun? Rejoignez un éditeur de logiciels destinés aux professionnels de la menuiserie en pleine croissance! "
elis,Elis,Industrie,Paris,France,http://www.corporate-elis.com,recrutement@elis.com,"1,4 Md€",21000,,30 000€ - 36 000€,"Rejoignez Elis, groupe multiservices, leader de la location-entretien de vêtements professionnels, d’articles textiles et d’hygiène. 
Notre mission ? Simplifier la vie des professionnels en leur permettant de se concentrer sur leur cœur de métier. Ainsi 240 000 clients, de toute taille et de tout secteur, nous font confiance à travers le monde. Grâce à nos 21 000 collaborateurs portés par leur excellence opérationnelle, nous connaissons une croissance ininterrompue depuis 60 ans.
Avec plus de 90 usines et 200 centres de service répartis dans 13 pays, nous bénéficions d’un rayonnement international qui nous permet d’agir au plus près de nos clients.
Le service c’est Elis. Et Elis c’est vous. 
","Elis s’appuie sur des hommes et des femmes fiers de leur entreprise et de ses valeurs, partageant une vision commune de ses enjeux. L’attachement des collaborateurs à l’entreprise est le fondement de l’édifice et le garant de notre réactivité et de notre compétitivité.
Notre politique RH est construite autour de quatre priorités : attirer les talents, leur permettre de s’épanouir dans leur fonction, les professionnaliser et les faire évoluer. Elis doit ainsi permettre à chacun d’être convaincu d’avoir fait le meilleur choix en rejoignant l’entreprise."
euroengineering,"Euro engineering
",Audit & Conseil,Lyon,France,http://www.euro-engineering.fr/default.aspx ,,"3,72 Md€",40000,,30 000€ - 50 000€,"Modis, Entreprise de Services Numériques et euro engineering, société d‘Ingénierie et de Conseil en Technologie, sont les deux marques internationales du pôle consulting du Groupe Adecco. 

Nos deux entités françaises poursuivent leur croissance et se renforcent pour répondre à une forte demande de nos clients issus des secteurs d’activités suivants : Banque, Finance & Assurance, Pharmacie, Télécom, Aéronautique, Ferroviaire, Nucléaire, Pétrole & Gaz.




",
extia,Extia,Audit & Conseil,Lyon,France,http://extia.fr,jobs@extia.fr,70 M€,900,31,30 00€ - 50 000€,"Extia : n. f. société de conseil en ingénierie. Synonyme : « d’abord qui, ensuite quoi ! »
Entreprise qui propose une approche inédite dans son domaine en alliant performance et bien-être au travail.
Son ambition : développer les compétences de chaque salarié et l’accompagner grâce à un suivi personnalisé et un management de proximité. Elle propose des solutions innovantes à ses clients dans des secteurs variés tels que l’IT, les Télécoms, l’Industrie, en s’appuyant notamment sur ses 3 pôles d’expertises (agence digitale Kilix, bureau d’études CFD, pôle innovation).
Présente depuis 2012 au Palmarès Great Place to Work® récompensant les entreprises en France où il fait bon travailler, elle occupe cette année la 6e place du classement. Adepte de la culture agile favorisant l’amélioration continue et l’intrapreneuriat, Extia a atteint le cap des 900 salariés en seulement 9 ans ! En intégrant Extia dans le cadre d'un stage, d'un contrat en apprentissage ou d’un premier emploi, vous mettez toutes les chances de votre côté pour vivre une expérience professionnelle enrichissante et réaliser vos ambitions !
","Chez Extia on veut du talent ! Et ce talent, c’est peut-être vous. La seule manière de le savoir, c’est de vous former, de développer vos compétences, et d’exprimer tout votre potentiel ! 
Rejoignez Extia, 6e entreprise en France où il fait bon travailler ! 
Au fait, c’est quoi une entreprise où il fait bon travailler ? C’est du fun au bureau, mais pas que. C’est savoir faire confiance aux collaborateurs quel que soit leur statut, leur accorder le droit à l’erreur afin de les pousser à entreprendre et innover. C’est les accompagner afin qu’ils se dépassent ! 
Si vous êtes notre potentiel futur talent, n’hésitez plus et contactez-nous pour venir faire vos preuves au sein d’une société qui n’attend qu’à être bluffée ! 
A bientôt au sein de notre Great Place to Work® !
"
ernstyoung,Ernst & Young,Audit & Conseil,Paris,France,http://www.ey.com/fr/carrieres,,954 M€,5000,,,"EY rassemble aujourd’hui 230 000 associés et collaborateurs à travers le monde, dans plus de 150 pays. Grâce à ce réseau, dont le niveau d’intégration et l’ampleur internationale sont gages d’une même excellence partout dans le monde, EY renforce sa position de leader mondial de l’Audit, du Conseil, des Transactions, de la Fiscalité et du Droit.",
faurecia,Faurecia,Automobile,Paris,France,http://www.faurecia.com,,,103000,,,"
Faurecia est l'un des premiers équipementiers automobiles du monde et partenaire privilégié des plus grands constructeurs. Leader dans ses trois activités - Automotive Seating, Interior Systems et Emissions Control Technologies - Le Groupe propose des solutions innovantes pour une mobilité durable et l'optimisation de la vie à bord. ",
gcat,GCAT,BTP,Paris,France,http://www.gcat.net,cv@gcat.net,,15,,,"G.C.A.T. Plus de quinze ans de savoir-faire dans l’Assistance Technique et la mobilisation de consultants dans les métiers du BTP quel que soit votre projet à l'international
Nous sommes le LEADER FRANÇAIS de l’ASSISTANCE TECHNIQUE à l’EXPORT pour les projets de BTP, industriels ou d'ingénierie. 

C’est ainsi que nous mobilisons dans l'urgence nos collaborateurs ou nos équipes de collaborateurs experts, techniciens et encadrants sur des chantiers à l’étranger pour résoudre toute sorte de problématiques techniques. 
Nos consultants seront heureux de vous ASSISTER, de vous CONSEILLER et de FORMER vos équipes.
Nous intervenons pour le compte de grands groupes internationaux et de PME de tous secteurs développant des projets ayant des composantes de génie civil, de terrassement, de canalisations, de construction de bâtiments industriels et tertiaires, de réalisation d’ouvrages d’art, d’électricité etc..",Vous êtes mobiles et parlez anglais? G.C.A.T. est fait pour vous !
gemalto,Gemalto,"Informatique, Édition de logiciels, Services de l'information",Paris,France,http://www.gemalto.com,,"3,1 Md€",14000,,37 000€,"Gemalto est le leader mondial de la sécurité numérique, nous sommes au cœur de la société numérique qui évolue rapidement et 1/3 des habitants du monde utilise nos produits. Les solutions numériques de Gemalto permettent de pouvoir communiquer, voyager, acheter, épargner, se divertir et travailler dans un environnement plus simple et plus sûr. 

",
goconcept,Go Concept,Audit & Conseil,Lyon,France,http://www.goconcept.ch,hr@goconcept.fr,10 M€,140,,,"GO Concept, PME internationale, est une société dynamique et innovante avec une forte tradition entrepreneuriale. GO Concept se positionne comme un acteur unique dans le domaine du conseil en Innovation Technologique et Business Accélération, sur des projets à forte valeur ajoutée. Nos différentes entités nous permettent d'accompagner nos clients, start-up comme grands industriels, sur des axes sectoriels tels que l'horlogerie fine, le biomédical, les transports, la machine-outil et l'énergie. ",
groupeadf,Groupe ADF,Industrie,Vitrolles,France,http://www.groupeadf.com,accueil.groupe@groupeadf.com,400 M€,3819,37,,"Acteur majeur en prestations de maintenance et services connexes aux industries à process continu, le Groupe ADF (3819 salariés / 400M € CA) propose à ses clients des solutions de maintenance axées sur l’amélioration continue des performances et l’optimisation de leurs équipements.",
egide,Groupe Atlantic,Industrie,La Roche-Sur-Yon,France,http://groupe-atlantic.com,,"1,35 Md€",5900,39,30 000€  - 34 000€,"Acteur majeur du génie climatique, le GROUPE ATLANTIC poursuit son développement en France et à l'international. 
Principalement connus sous nos marques Atlantic, Thermor & Sauter, nos solutions de chauffage, eau chaude sanitaire & traitement de l'air évoluent constamment. A la recherche permanente du bien-être durable de nos utilisateurs, nous avons fait de l'innovation un des moteurs de notre croissance et dédions chaque année 4 % du CA aux produits nouveaux et futurs.",
casino,Groupe Casino,Agro-Alimentaire Grande Distribution,Saint-Etienne,France,http://www.groupe-casino.fr,recrutement@groupe-casino.fr,46 Md€,325000,,,"Casino, Groupe de distribution, occupe en France une position de leader grâce à la diversité de ses enseignes : Géant Casino, Monoprix, Supermarchés Casino, Leader Price, Franprix, Petit Casino, CDiscount, Casino Restauration… et à une présence affirmée à l’international.
La Diversité trouve aussi son expression dans notre politique de recrutement qui privilégie l’égalité des chances, la diversité des individus au sein de nos équipes.",
gcc,Groupe Gcc,BTP,Lyon,France,http://gcc-groupe.com,recrutement-ra@gcc.fr,680 Md€,2300,40,32 500€,"Le groupe GCC poursuit son développement au travers des opérations de croissance externe réalisées aussi bien dans le Pôle Construction que dans le Pôle Energie. De par la réactivité et la souplesse d’adaptation qui animent les équipes, le Groupe GCC dispose d’une immuable « volonté d’entreprendre » et des forces nécessaires pour relever avec détermination les enjeux de nos marchés et les exigences de nos clients pour les prochaines années. ",
